@ref(networkElement)|@const(IpagPPort)class
@index(CE_PPort)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|port_aid|port_ipaddr|port_num|product_type|remote_device_name|remote_device_type|remote_device_ipaddr|remote_deviceloopbackip|remote_slot_name|remote_port_aid|slavlan|cdnbind|uni_nni|aafda_role|acnaban|assoc_nni_pport|clci|clfi|diverse_circuit_id|device_type|ineffect|mpa_connect_type|nmvlan
10.204.11.206/9|10.204.11.206/9|10.204.11.206/9|NFO-MOBILITY|NTE|NTE|true|B|9||1||DYBHFLMA308|JUNIPER MX SERIES|10.204.243.122|143.0.68.248||ge-1/2/5|||NNI|||||JU102/GE1N/DYBHFLMA308/DYBHFLMA729||CIENA NTE|Y||4092
10.204.11.146/9|10.204.11.146/9|10.204.11.146/9|NFO-MOBILITY|NTE|NTE|true|B|9||1||DYBHFLMA308|JUNIPER MX SERIES|10.204.243.122|143.0.68.248||ge-0/0/7|||NNI|||||JU102/GE1N/DYBHFLMAR88/DYBHFLMA308||CIENA NTE|N||4092
10.204.66.128/27|10.204.66.128/27|10.204.66.128/27|NTE-CFO|IPAG|NTE|true|B|27||0||||||||||UNI|||25|56/HUJI/458978/PJ|||CIENA NTE|Y||
10.204.81.196/9|10.204.81.196/9|10.204.81.196/9|NTE-CFO|IPAG|NTE|true|S|9||0||||||||||UNI|||11|41/KSGN/270185/NV|||CIENA NTE|Y||
10.204.132.254/1|10.204.132.254/1|10.204.132.254/1|NFO-MOBILITYUNI|NTE|NTE|true|B|1||0||||||||||UNI|||9|16/KRFN/834290/JI|||CIENA NTE|Y||
10.204.134.202/2|10.204.134.202/2|10.204.134.202/2|NFO-MOBILITYUNI|NTE|NTE|true|S|2||0||||||||||UNI|||9|99/KQGN/547711/NV|||CIENA NTE|Y||
10.204.134.192/9|10.204.134.192/9|10.204.134.192/9|NFO-MOBILITY|NTE|NTE|true|S|9||1||ANHMCAGTN01|JUNIPER MX SERIES|10.204.243.88|143.0.68.214||ge-0/0/2|||NNI|||||M101N/GE1N/ANHMCAGTBBA/ANHMCAGTN01||CIENA NTE|N||4092
10.204.67.143/1|10.204.67.143/1|10.204.67.143/1|NFO-MOBILITYUNI|NTE|NTE|true|B|1||0||||||||||UNI|||9|87/KRFN/766641/SB|||CIENA NTE|Y||
10.204.82.168/28|10.204.82.168/28|10.204.82.168/28|NTE-CFO|IPAG|NTE|true|S|28||0||||||||||UNI|||25|32/GKLF/298992/FL|||CIENA NTE|Y||
10.204.11.248/9|10.204.11.248/9|10.204.11.248/9|NFO-MOBILITY|NTE|NTE|true|B|9||1||DYBHFLMA308|JUNIPER MX SERIES|10.204.243.122|143.0.68.248||ge-0/2/3|||NNI|||||JU101/GE1N/DYBHFLMA308/DYBHFLMA742||CIENA NTE|Y||4092
