@rel(Composed_Of)
@from(PE_Device)key|@to(PE_PPort)key
10.204.250.153|10.204.250.153/Fa0/1
10.204.250.211|10.204.250.211/Fa0/1
10.204.241.2|10.204.241.2/FastEthernet0/22
10.204.241.51|10.204.241.51/FastEthernet0/10
10.204.244.2|10.204.244.2/FastEthernet0/4
10.204.244.4|10.204.244.4/FastEthernet0/13
12.82.26.4|12.82.26.4/FastEthernet 0/0
10.204.241.2|10.204.241.2/FastEthernet0/3
10.204.241.1|10.204.241.1/FastEthernet0/8
10.204.244.131|10.204.244.131/FastEthernet0/19
10.204.233.97|10.204.233.97/Gi0/2
10.204.244.131|10.204.244.131/FastEthernet0/14
12.123.110.12|12.123.110.12/GigabitEthernet0/-4
12.123.115.36|12.123.115.36/5
10.204.250.203|10.204.250.203/Gi0/2
10.204.241.12|10.204.241.12/FastEthernet0/17
12.123.106.116|12.123.106.116/5
10.204.244.2|10.204.244.2/FastEthernet0/3
10.204.250.187|10.204.250.187/Fa0/1
10.204.250.143|10.204.250.143/Gi0/2
10.204.250.158|10.204.250.158/Fa0/1
12.123.107.228|12.123.107.228/GigabitEthernet0/0
10.204.241.2|10.204.241.2/FastEthernet0/14
10.204.241.0|10.204.241.0/FastEthernet0/18
12.123.118.108|12.123.118.108/GigabitEthernet0/0/0
10.204.250.137|10.204.250.137/Fa0/1
10.204.233.103|10.204.233.103/Gi0/2
10.204.241.51|10.204.241.51/FastEthernet0/15
10.204.241.3|10.204.241.3/FastEthernet0/12
10.204.250.26|10.204.250.26/Gi0/2
10.204.250.197|10.204.250.197/Gi0/2
10.204.241.1|10.204.241.1/FastEthernet0/23
10.204.242.50|10.204.242.50/FastEthernet0/11
10.204.241.0|10.204.241.0/FastEthernet0/3
10.204.250.205|10.204.250.205/Gi0/2
192.168.114.132|192.168.114.132/GigabitEthernet0/1
10.204.244.248|10.204.244.248/FastEthernet0/13
10.204.241.1|10.204.241.1/FastEthernet0/2
10.204.241.51|10.204.241.51/FastEthernet0/14
10.204.244.2|10.204.244.2/FastEthernet0/14
10.204.250.218|10.204.250.218/Gi0/2
10.204.250.189|10.204.250.189/Gi0/2
10.204.250.147|10.204.250.147/Gi0/2
10.204.244.248|10.204.244.248/FastEthernet0/8
12.123.106.76|12.123.106.76/GigabitEthernet0/0/0
10.204.244.235|10.204.244.235/FastEthernet0/11
10.204.241.8|10.204.241.8/FastEthernet0/12
10.204.241.11|10.204.241.11/FastEthernet0/15
10.204.244.46|10.204.244.46/FastEthernet0/15
10.204.241.11|10.204.241.11/FastEthernet0/16
12.82.27.180|12.82.27.180/FastEthernet 0/0
10.204.233.78|10.204.233.78/Gi0/2
10.204.250.151|10.204.250.151/Fa0/1
148.0.0.204|148.0.0.204/GigabitEthernet0/1/0
10.204.241.51|10.204.241.51/FastEthernet0/16
10.204.233.113|10.204.233.113/Gi0/2
10.204.241.51|10.204.241.51/FastEthernet0/20
