@rel(Associated_To)
@from(EVC)key|@to(EVCNode)key
VPLS:108263|12.82.78.1/VPLS:108263
VPLS:105783|12.82.80.23/VPLS:105783
VPLS:117256|12.82.40.79/VPLS:117256
VPWS:91278|12.82.100.20/VPWS:91278
VPLS:116636|12.82.60.30/VPLS:116636
13979:131469|12.122.215.68/13979:131469
VPWS:52651|12.82.66.20/VPWS:52651
VPLS:61614|12.82.114.9/VPLS:61614
VPWS:111432|12.82.104.21/VPWS:111432
VPLS:153278|12.82.32.75/VPLS:153278
VPWS:57139|12.82.0.49/VPWS:57139
VPWS:124412|12.82.8.69/VPWS:124412
VPLS:59086|12.82.74.24/VPLS:59086
VPWS:89806|12.82.104.19/VPWS:89806
VPLS:107013|12.82.40.104/VPLS:107013
VPWS:157531|12.82.0.45/VPWS:157531
VPLS:110710|12.82.102.1/VPLS:110710
VPWS:73739|12.82.74.2/VPWS:73739
VPWS:178152|12.82.114.9/VPWS:178152
VPWS:119226|12.82.100.5/VPWS:119226
VPLS:155176|12.82.24.65/VPLS:155176
13979:8335|12.122.215.63/13979:8335
VPLS:139905|12.82.78.28/VPLS:139905
VPWS:72220|12.82.74.25/VPWS:72220
VPWS:53894|12.82.114.9/VPWS:53894
VPWS:112628|12.82.16.74/VPWS:112628
VPLS:182872|12.82.68.1/VPLS:182872
VPLS:109482|12.82.92.25/VPLS:109482
VPWS:108455|12.82.100.7/VPWS:108455
VPLS:65635|12.82.96.25/VPLS:65635
VPLS:158459|12.82.24.65/VPLS:158459
13979:34138|12.122.215.16/13979:34138
VPLS:168023|12.82.0.74/VPLS:168023
13979:145539|12.122.215.33/13979:145539
VPWS:117823|12.82.40.111/VPWS:117823
VPWS:115244|12.82.76.21/VPWS:115244
VPLS:52889|12.82.0.47/VPLS:52889
VPLS:178428|12.82.8.10/VPLS:178428
VPWS:182584|12.82.8.87/VPWS:182584
VPLS:114411|12.82.24.44/VPLS:114411
L2CKT:28636|10.144.0.137/L2CKT:28636
VPWS:97396|12.82.70.28/VPWS:97396
VPWS:135730|12.82.80.30/VPWS:135730
VPWS:77521|12.82.56.2/VPWS:77521
VPWS:164554|12.82.0.70/VPWS:164554
VPWS:82415|12.82.86.21/VPWS:82415
VPWS:146873|12.82.60.18/VPWS:146873
VPWS:74700|12.82.8.59/VPWS:74700
VPWS:179329|12.82.40.125/VPWS:179329
VPLS:55987|12.82.114.8/VPLS:55987
VPLS:149744|12.82.110.4/VPLS:149744
VPWS:156906|12.82.0.2/VPWS:156906
VPWS:101966|12.82.100.20/VPWS:101966
VPWS:164414|12.82.58.12/VPWS:164414
VPWS:126493|12.82.24.49/VPWS:126493
VPWS:127719|12.82.86.22/VPWS:127719
VPWS:93689|12.82.76.28/VPWS:93689
VPWS:165938|12.82.98.13/VPWS:165938
VPLS:140044|12.82.24.59/VPLS:140044
VPWS:92024|12.82.0.46/VPWS:92024
VPLS:102765|12.82.96.19/VPLS:102765
21302:7705|165.87.253.163/21302:7705
VPWS:166001|12.82.76.18/VPWS:166001
VPWS:88522|12.82.90.15/VPWS:88522
VPWS:162126|12.82.40.91/VPWS:162126
VPLS:140398|12.82.114.14/VPLS:140398
VPWS:135565|12.82.0.71/VPWS:135565
VPLS:116363|1.2.3.4/VPLS:116363
VPLS:108707|12.82.92.4/VPLS:108707
VPWS:185382|12.82.104.9/VPWS:185382
VPLS:92491|12.82.114.12/VPLS:92491
VPLS:127923|12.82.104.20/VPLS:127923
VPWS:184794|12.82.72.24/VPWS:184794
VPLS:107158|12.82.24.30/VPLS:107158
VPLS:178412|12.82.56.1/VPLS:178412
VPWS:143288|12.82.70.28/VPWS:143288
VPWS:79398|12.82.74.2/VPWS:79398
VPWS:28900|10.204.81.209/VPWS:28900
VPWS:91809|12.82.74.26/VPWS:91809
VPWS:105822|12.82.66.23/VPWS:105822
VPWS:118730|12.82.82.27/VPWS:118730
VPLS:169516|12.82.114.4/VPLS:169516
VPWS:109458|12.82.16.65/VPWS:109458
VPLS:89400|12.82.72.26/VPLS:89400
VPWS:123860|12.82.114.10/VPWS:123860
VPWS:112533|12.82.40.102/VPWS:112533
VPWS:172151|12.82.16.96/VPWS:172151
