@rel(PLink)
@from(PE_PPort)key|@to(CE_PPort)key
149.0.3.222/4/0/4|10.204.67.164/9
10.144.0.147/5/2/2|10.204.66.84/10
12.80.72.14/0/0/0|10.204.200.160/26
148.0.131.184/1/0/2|10.204.82.96/25
149.0.3.202/0/0/0|10.204.9.156/26
10.144.0.155/3/0/4|10.204.1.108/25
8.8.0.172/5/0/2|10.204.90.170/25
150.0.0.168/5/1/2|10.204.83.175/9
149.0.3.222/2/2/1|10.204.10.2/9
12.82.0.53/2/0/7|10.204.201.26/21
149.0.3.207/2/1/0|10.204.85.71/12
148.0.131.226/2/0/0|10.204.82.143/25
12.80.84.29/3/0/2|10.204.6.69/26
149.0.3.244/1/0/0|10.204.85.14/11
143.0.24.164/0/0/0|10.204.161.27/9
12.123.80.143/2/0/1|10.204.65.139/SM-B/2
143.0.25.9/4/0/0|10.204.12.104/0
143.0.68.46/0/0/1|10.204.84.72/25
12.82.0.62/3/1/3|10.204.200.107/22
149.0.3.194/2/0/3|10.204.85.80/9
150.0.0.168/5/2/1|10.204.83.232/9
143.0.68.248/1/2/6|10.204.11.209/9
150.0.0.29/4/0/3|10.204.81.200/26
143.0.68.248/0/1/3|10.204.11.229/22
143.0.24.144/4/0/0|10.204.132.219/0
143.0.68.214/1/0/2|10.204.134.203/9
12.82.0.55/4/0/1|10.5.6.4/26
149.0.3.222/3/0/3|10.204.10.45/25
143.0.24.145/0/0/7|10.204.144.165/10
10.144.0.137/1/2/1|10.204.67.13/9
12.123.80.37/3/0/1|10.204.65.157/26
143.0.25.9/0/0/4|10.204.12.128/9
150.0.0.168/5/1/0|10.204.83.158/9
12.123.80.46/1/0/5|10.204.65.114/25
149.0.3.135/0/0/0|10.204.83.169/11
12.123.80.37/2/0/0|10.204.66.75/26
143.0.24.130/7/0/0|10.204.235.193/21
12.80.0.207/0/0/3|10.204.176.77/21
12.82.0.62/3/0/3|10.204.200.96/2
149.0.3.196/5/1/1|10.204.85.88/9
12.123.80.212/1/0/3|10.204.80.249/25
143.0.68.246/1/0/0|10.204.132.145/11
12.80.68.145/1/0/0|10.204.160.134/22
149.8.0.26/0/0/0|10.204.81.78/25
12.123.80.133/2/0/0|10.204.65.29/22
143.0.68.145/0/0/0|10.204.10.14/25
149.0.3.215/0/0/2|10.204.85.48/10
149.0.3.222/3/0/0|10.204.67.164/10
143.0.24.129/3/1/0|192.168.113.176/9
10.144.0.137/2/0/4|10.204.67.119/10
149.0.3.196/2/0/0|10.204.84.253/22
149.0.3.194/4/1/0|10.204.85.44/11
12.80.0.207/2/0/1|10.204.176.67/24
143.0.68.44/0/0/3|10.204.84.128/26
12.123.80.198/0/0/0|10.204.81.39/25
12.123.80.198/1/0/0|10.204.81.50/25
10.144.0.137/3/1/6|10.204.67.71/9
10.144.0.147/4/3/7|192.168.113.165/10
150.0.0.207/1/0/1|10.204.9.35/9
143.0.68.35/0/0/2|10.204.84.97/25
12.123.80.214/4/1/5|10.204.81.128/25
143.0.68.241/4/0/3|10.204.144.168/9
8.8.0.154/0/0/9|10.204.90.195/27
149.0.3.200/1/0/2|10.204.9.206/10
8.8.0.206/2/0/0|10.204.90.185/21
149.0.3.223/5/1/0|10.204.10.46/10
12.80.4.9/3/0/0|10.204.160.89/10
10.144.0.147/5/3/0|192.168.113.82/10
10.144.0.137/4/0/1|10.204.32.81/10
150.0.0.29/5/0/0|10.204.81.203/26
10.144.0.122/3/0/0|10.204.200.74/22
12.123.80.201/5/0/0|10.204.65.126/26
143.0.68.184/0/2/3|10.204.11.238/9
149.0.3.241/0/0/0|10.204.85.64/25
148.0.131.226/0/0/0|10.204.82.168/25
143.0.68.248/1/1/2|10.204.11.183/9
12.82.100.7/5/0/5|10.204.160.82/22
12.123.80.198/4/0/0|10.204.80.196/25
149.0.3.222/2/1/3|10.204.10.33/9
12.80.72.70/5/0/0|10.204.200.235/25
12.80.84.29/3/0/0|10.204.6.68/22
12.123.80.214/0/0/3|10.204.80.202/25
12.80.72.109/3/3/2|10.204.201.27/23
143.0.24.248/0/0/3|10.204.144.190/9
143.0.68.169/2/0/4|10.204.10.133/9
10.144.0.137/1/1/4|10.204.66.254/9
143.0.24.56/1/2/1|10.204.161.19/21
12.80.4.13/0/0/1|10.204.160.100/SM-A/2
12.123.80.214/2/0/9|10.204.81.37/26
143.0.68.184/0/0/2|10.204.10.102/9
12.123.80.176/0/0/3|10.204.80.177/25
143.0.24.237/1/0/0|10.204.85.103/0
12.123.80.29/2/0/6|10.204.64.168/SM-B/1
143.0.68.72/1/0/2|10.204.161.8/21
143.0.68.46/0/0/0|10.204.84.4/9
149.9.0.27/0/0/2|10.204.9.92/22
143.0.24.144/0/0/1|10.204.132.182/21
148.0.131.129/1/0/0|10.204.8.83/25
10.144.0.137/3/0/5|10.204.67.38/9
149.0.3.196/0/0/9|10.204.84.246/9
12.123.80.212/2/0/3|10.204.81.21/25
143.0.24.132/3/1/0|10.204.135.195/9
12.80.84.11/0/0/0|10.204.175.67/22
143.0.24.132/2/0/4|10.204.135.203/9
12.123.80.143/0/0/3|10.204.65.40/26
143.0.68.170/4/1/2|10.204.11.90/9
143.0.68.242/3/0/3|10.204.132.175/9
12.123.80.214/2/0/5|10.204.81.26/25
149.0.3.196/5/1/0|10.204.85.54/10
149.0.3.132/1/0/1|10.204.83.181/10
12.123.80.212/0/0/9|10.204.80.222/25
10.144.0.137/2/0/5|10.204.67.120/9
148.0.131.219/0/0/1|10.204.8.98/25
143.0.68.248/4/0/1|10.204.11.251/9
143.0.24.132/1/0/6|10.204.135.193/10
12.123.80.17/1/1/0|10.204.81.149/25
12.123.80.198/0/0/2|10.204.81.51/25
12.80.72.123/0/3/4|10.204.201.66/25
12.123.80.27/0/0/0|10.204.80.176/25
143.0.68.230/5/1/0|10.204.132.87/11
149.0.3.243/0/1/0|10.204.84.254/12
10.144.0.152/1/1/0|192.168.113.34/11
149.0.3.223/5/0/0|10.204.9.186/24
12.80.72.123/0/3/1|10.204.201.55/26
143.0.68.172/0/0/1|10.204.10.76/10
149.0.3.222/2/0/6|10.204.10.21/9
12.123.80.57/2/0/3|10.204.208.97/25
12.82.0.62/2/0/8|10.204.200.106/21
149.0.3.222/5/0/4|10.204.67.147/9
8.8.0.154/5/0/1|10.204.90.99/25
143.0.24.56/1/2/0|10.204.161.19/23
143.0.68.43/0/0/2|10.204.84.128/25
10.144.0.155/1/2/6|192.168.113.70/10
143.0.68.168/2/0/8|10.204.10.160/9
12.82.0.61/5/0/5|10.204.201.18/9
150.0.0.168/5/0/7|10.204.83.142/9
143.0.25.13/4/0/1|10.204.144.222/SM-A/1
12.123.80.27/3/1/0|10.204.80.117/25
10.144.0.155/5/2/9|192.168.113.66/25
12.123.80.197/1/3/0|10.204.65.127/25
12.82.0.62/2/1/1|10.204.200.117/25
150.0.0.229/0/0/0|10.204.9.127/12
143.0.68.170/4/1/1|10.204.11.98/9
12.123.80.214/3/0/7|10.204.81.139/25
12.123.80.143/1/0/0|10.204.65.121/25
149.0.3.222/3/0/2|10.204.85.84/9
143.0.24.145/4/2/0|10.204.144.175/11
149.0.3.196/5/0/4|10.204.85.29/25
143.0.24.164/0/0/4|10.204.161.73/25
143.0.24.168/3/1/0|10.204.144.161/9
143.0.68.168/1/1/0|10.204.12.26/21
143.0.24.159/9/3/9|10.204.161.66/9
12.123.80.166/1/0/6|10.204.80.149/25
12.123.80.214/4/0/6|10.204.81.101/25
148.0.131.193/2/0/2|10.204.225.200/24
10.144.0.137/1/1/6|10.204.67.188/25
12.123.80.214/0/0/0|10.204.80.197/25
