@rel(PLink)
@from(PE_PPort)key|@to(CE_PPort)key
10.144.0.154/3/1/4|10.204.1.84/9
12.82.100.7/5/0/5|10.204.160.82/22
149.9.0.29/0/0/1|10.204.9.93/25
8.8.0.172/5/0/8|10.204.90.189/25
12.80.72.65/2/0/3|10.204.200.242/25
149.0.3.202/4/0/0|10.204.9.185/9
12.123.80.27/3/0/2|10.204.80.108/25
14.0.1.85/0/0/0|10.204.172.74/25
149.9.0.6/0/1/0|10.204.9.67/11
149.0.3.196/0/2/7|10.204.85.39/9
149.0.3.195/0/0/0|10.204.9.157/11
12.80.72.42/0/0/0|10.204.200.205/25
143.0.68.99/4/0/0|10.204.9.178/9
143.0.68.110/2/0/1|10.204.200.123/10
12.80.84.11/2/0/0|10.204.175.67/21
143.0.68.184/0/2/4|10.204.85.102/9
149.0.3.222/5/2/0|10.204.9.210/9
10.144.0.154/3/1/1|10.204.1.119/25
12.123.80.133/2/0/0|10.204.65.29/22
143.0.68.242/5/0/0|10.204.144.66/0
143.0.68.242/4/1/8|10.204.132.203/10
12.123.80.27/2/0/3|10.204.64.193/25
149.0.3.216/4/0/1|10.204.84.244/9
149.0.3.222/4/0/6|10.204.10.39/9
143.0.68.247/2/0/0|10.204.132.85/9
149.0.3.196/0/0/1|10.204.84.233/9
149.0.3.196/2/0/7|10.204.85.66/9
143.0.68.172/4/2/0|10.204.12.57/9
10.144.0.147/3/1/0|10.204.67.87/9
143.0.68.169/1/0/7|10.204.10.68/21
10.144.0.137/4/3/9|192.168.113.175/10
150.0.0.212/1/0/2|10.204.83.97/SM-A/1
143.0.68.248/4/0/1|10.204.11.251/9
150.0.0.168/2/0/6|10.204.9.62/9
12.123.80.15/5/0/1|10.204.64.136/25
149.0.3.198/4/0/0|10.204.85.81/10
143.0.68.170/2/0/5|10.204.11.28/9
143.0.68.170/4/0/4|10.204.11.58/21
12.123.80.214/0/0/3|10.204.80.202/25
143.0.68.172/0/1/1|10.204.10.143/9
10.144.0.137/3/0/4|10.204.67.177/9
10.144.0.137/3/2/8|10.204.67.103/9
149.0.3.128/4/0/2|10.204.9.102/25
12.123.80.214/3/0/3|10.204.66.72/25
12.123.80.214/2/0/5|10.204.81.26/25
148.0.131.182/4/2/0|10.204.82.180/25
143.0.68.169/2/0/4|10.204.10.133/9
12.123.80.214/1/0/5|10.204.80.250/26
143.0.68.184/0/1/4|10.204.11.138/9
12.123.80.214/4/1/5|10.204.81.128/25
149.0.3.222/1/1/0|10.204.9.236/9
8.8.0.154/0/3/5|10.204.90.213/25
149.0.3.202/0/0/0|10.204.9.156/26
10.144.0.137/3/0/9|10.204.67.55/9
150.0.0.215/1/0/6|10.204.84.87/25
150.0.0.168/2/0/5|10.204.83.105/9
12.80.68.135/4/0/2|10.204.160.114/22
10.144.0.137/2/0/2|10.204.64.223/10
149.0.3.196/0/0/3|10.204.84.235/9
149.0.3.216/4/0/2|10.204.85.72/10
12.123.80.214/4/0/1|10.204.81.84/25
12.123.80.15/0/0/4|10.204.136.85/25
12.123.80.214/4/2/3|10.204.81.147/25
10.144.0.154/2/0/0|10.204.1.80/25
10.144.0.137/1/1/1|192.168.113.180/SM-B/1
