@ref(networkElement)|@const(IpagEvcNode)class
@index(EVCNode)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|acnaban|clci|clli|cvlanid|evc_name|ipaddress|ineffect|nte_uni|port_aid|svlanid|unickt|vrf_name
8.8.0.154/VPWS:63252|8.8.0.154/VPWS:63252|8.8.0.154/VPWS:63252|||IPAG|||||||41/KQGN/499001/NV|8.8.0.154|Y||ge-5/0/1|||VPWS:63252
10.204.134.216/VPWS:31829|10.204.134.216/VPWS:31829|10.204.134.216/VPWS:31829|||NTE|||PUN-901C010249|||513|56/KRFN/800006/KL|10.204.134.216|||1.25|2|13/KRFN/800006/KL|VPWS:31829
10.204.134.216/VPLS:31784|10.204.134.216/VPLS:31784|10.204.134.216/VPLS:31784|||NTE|||ATW-404N100097|||128|14/KRGN/631545/SP|10.204.134.216|||1.25|2|13/KRFN/800006/KL|VPLS:31784
192.168.113.147/VPWS:23416|192.168.113.147/VPWS:23416|192.168.113.147/VPWS:23416|||NTE|||ZXL-407N160011|||378|11/SITP/567896/VG|192.168.113.147|||21|27|10/KQGN/110656/SB|VPWS:23416
150.0.0.44/VPLS:25568|150.0.0.44/VPLS:25568|150.0.0.44/VPLS:25568|||IPAG|||||||51/KRGN/061090/SB|150.0.0.44|Y||ge-1/0/0|||VPLS:25568
10.204.80.210/VPLS:22079|10.204.80.210/VPLS:22079|10.204.80.210/VPLS:22079|NFO-MOBILITYUNI|NTE|NTE|||ZXL-130039|||162|01/KEVC/032011/K1|10.204.80.210|||26|2|01/KULD/032011/K1|VPLS:22079
192.168.113.79/L2CKT:31322|192.168.113.79/L2CKT:31322|192.168.113.79/L2CKT:31322|NTE-CFM-CFO|IPAG|NTE|||SMW-407N160088|||1062|85/VLXP/210062/SB|192.168.113.79|||11|6|85/KSFN/210441/SB|L2CKT:31322
10.204.8.153/VPLS:23944|10.204.8.153/VPLS:23944|10.204.8.153/VPLS:23944|NTE-CFM-CFO|IPAG|NTE|||ABC-901C010249|||159|82/VLXM/895367/AZ|10.204.8.153|Y||28|||VPLS:23944
10.204.82.66/VPWS:22930|10.204.82.66/VPWS:22930|10.204.82.66/VPWS:22930|NTE-CFM-CFO|IPAG|NTE|||PUN-901C010249|||347|01/KULD/010611/KG|10.204.82.66|Y||1|||VPWS:22930
10.204.144.94/VPLS:32482|10.204.144.94/VPLS:32482|10.204.144.94/VPLS:32482|NTE-CFM-CFO|IPAG|NTE|||ATW-404N100098|||119|35/THFG/756567/GH|10.204.144.94|Y||6|||VPLS:32482
10.204.134.202/VPLS:28849|10.204.134.202/VPLS:28849|10.204.134.202/VPLS:28849|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||324|99/UNHY/338110/NV|10.204.134.202|||9|2|99/KRFN/338110/NV|VPLS:28849
10.204.9.85/VPWS:29168|10.204.9.85/VPWS:29168|10.204.9.85/VPWS:29168|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||2566|99/ABCD/100291/MN|10.204.9.85|||11|2|45/KSGN/812221/SB|VPWS:29168
148.0.131.239/VPLS:29388|148.0.131.239/VPLS:29388|148.0.131.239/VPLS:29388|||IPAG|||||||12/MEVC/526387/SK|148.0.131.239|Y||xe-5/0/0|||VPLS:29388
10.204.83.200/VPWS:25707|10.204.83.200/VPWS:25707|10.204.83.200/VPWS:25707|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||1111|00/VPLX/122911/NV|10.204.83.200|Y||5|||VPWS:25707
12.123.80.214/VPLS:22198|12.123.80.214/VPLS:22198|12.123.80.214/VPLS:22198|||IPAG|||||||01/AMKM/100777/SB|12.123.80.214|Y||ge-1/0/1|||VPLS:22198
10.204.82.173/VPWS:23474|10.204.82.173/VPWS:23474|10.204.82.173/VPWS:23474|NTE-CFM-CFO|IPAG|NTE|||SDB-407N160055|||128|01/EVCP/140711/HG|10.204.82.173|||25|6|25/YHYJ/225511/UK|VPWS:23474
10.204.83.89/VPWS:25344|10.204.83.89/VPWS:25344|10.204.83.89/VPWS:25344|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||1232|02/ABCD/121109/MN|10.204.83.89|||9|3|53/IKLO/857412/ER|VPWS:25344
10.204.90.97/VPWS:63662|10.204.90.97/VPWS:63662|10.204.90.97/VPWS:63662|NTE-CFM-CFO|IPAG|NTE|||ABC-901C010249|||3434|85/KFGN/54475/LB|10.204.90.97|||25|6|45/AMOL/459159/SA|VPWS:63662
10.204.90.186/VPLS:62788|10.204.90.186/VPLS:62788|10.204.90.186/VPLS:62788|NTE-CFM-CFO|IPAG|NTE|||AWL-407N220048|||69|vikas_2131232|10.204.90.186|||27|3|02/CHET/021010/NV|VPLS:62788
10.204.132.87/VPLS:29426|10.204.132.87/VPLS:29426|10.204.132.87/VPLS:29426|NFO-MOBILITYUNI|NTE|NTE|||452-904C010249|||648|01/EVCM/111012/PJ|10.204.132.87|||11|2|13/KSGN/343221/SB|VPLS:29426
10.204.8.75/VPLS:25580|10.204.8.75/VPLS:25580|10.204.8.75/VPLS:25580|NTE-CFM-CFO|IPAG|NTE|||ATX-904N130200|||1680|56/VLXP/700015/SB|10.204.8.75|N||9|||VPLS:25580
192.168.113.165/L2CKT:28065|192.168.113.165/L2CKT:28065|192.168.113.165/L2CKT:28065|NTE-CFM-CFO|IPAG|NTE|||SMW-407N160088|||2614|58/VLXP/206041/SB|192.168.113.165|Y||2|||L2CKT:28065
10.204.83.201/VPLS:25841|10.204.83.201/VPLS:25841|10.204.83.201/VPLS:25841|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||285|06/BULK/010512/MP|10.204.83.201|||9|2|01/JAIN/121711/AJ|VPLS:25841
10.204.11.251/L2CKT:31583|10.204.11.251/L2CKT:31583|10.204.11.251/L2CKT:31583|NFO-MOBILITYUNI|NTE|NTE|||452-904C010249|||547|14/KQGN/485652/SB|10.204.11.251|||9|2|78/KRFN/329002/SB|L2CKT:31583
10.204.10.166/L2CKT:28841|10.204.10.166/L2CKT:28841|10.204.10.166/L2CKT:28841|NFO-MOBILITYUNI|NTE|NTE|||452-904C010249|||452|01/EVCP/310812/PJ|10.204.10.166|||9|2|13/AKSH/270712/AY|L2CKT:28841
10.204.66.99/VPWS:23702|10.204.66.99/VPWS:23702|10.204.66.99/VPWS:23702|NTE-CFM-CFO|IPAG|NTE|||PUN-901C010249|||987|53/EVCS/454545/SR|10.204.66.99|Y||28|||VPWS:23702
150.0.0.168/VPWS:26229|150.0.0.168/VPWS:26229|150.0.0.168/VPWS:26229|||IPAG|||||||IM/RSRS/984539/IM|150.0.0.168|Y||ge-5/1/6|||VPWS:26229
10.204.132.87/VPLS:29212|10.204.132.87/VPLS:29212|10.204.132.87/VPLS:29212|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||1654|99/ABCD/342190/MN|10.204.132.87|||11|2|13/KSGN/343221/SB|VPLS:29212
143.0.68.184/VPWS:29290|143.0.68.184/VPWS:29290|143.0.68.184/VPWS:29290|||IPAG|||||||51/CHET/191098/CG|143.0.68.184|Y||ge-0/0/5|||VPWS:29290
10.204.84.178/VPLS:28745|10.204.84.178/VPLS:28745|10.204.84.178/VPLS:28745|NTE-CFM-CFO|IPAG|NTE|||452-904C010249|||154|02/EVCM/210812/PJ|10.204.84.178|||9|2|44/KIKI/222222/PL|VPLS:28745
150.0.0.168/VPLS:25710|150.0.0.168/VPLS:25710|150.0.0.168/VPLS:25710|||IPAG|||||||02/SHAS/301211/EV|150.0.0.168|Y||ge-5/1/6|||VPLS:25710
10.204.85.71/VPLS:27618|10.204.85.71/VPLS:27618|10.204.85.71/VPLS:27618|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||1276|12.UNIM.000011.UN|10.204.85.71|Y||10|||VPLS:27618
10.204.81.162/VPLS:22438|10.204.81.162/VPLS:22438|10.204.81.162/VPLS:22438|NTE-CFM-CFO|IPAG|NTE|||PUN-901C010249|||564|73/GHSA/768677/VS|10.204.81.162|||25|4|19/RNMU/250953/SR|VPLS:22438
10.204.8.75/VPWS:30003|10.204.8.75/VPWS:30003|10.204.8.75/VPWS:30003|NTE-CFM-CFO|IPAG|NTE|||PUN-904C010249|||322|30/KRFN/713252/HA|10.204.8.75|Y||2|||VPWS:30003
10.204.82.212/VPWS:23940|10.204.82.212/VPWS:23940|10.204.82.212/VPWS:23940|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||894|67/FGFR/475764/JS|10.204.82.212|N||28|||VPWS:23940
10.204.82.173/VPLS:23852|10.204.82.173/VPLS:23852|10.204.82.173/VPLS:23852|NTE-CFM-CFO|IPAG|NTE|||FNA-0720965091|||114|14/DCVF/145298/ER|10.204.82.173|||25|50|25/YHYJ/225511/UK|VPLS:23852
192.168.113.164/VPWS:26846|192.168.113.164/VPWS:26846|192.168.113.164/VPWS:26846|NTE-CFM-CFO|IPAG|NTE|||EXF-407N191276|||826|58/CUXM/105021/SB|192.168.113.164|||25|131|58/KQGN/105021/SB|VPWS:26846
143.0.68.184/VPLS:30618|143.0.68.184/VPLS:30618|143.0.68.184/VPLS:30618|||IPAG|||||||32/KQGN/893243/VS|143.0.68.184|Y||ge-0/1/6|||VPLS:30618
10.204.67.143/VPWS:27716|10.204.67.143/VPWS:27716|10.204.67.143/VPWS:27716|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||763|99/KRFN/700641/SB|10.204.67.143|Y||1|||VPWS:27716
10.204.80.66/VPLS:21707|10.204.80.66/VPLS:21707|10.204.80.66/VPLS:21707|NTE-CFM-CFO|IPAG|NTE|||ZXL-130039|||89|SUNI98EVC|10.204.80.66|||25|6|11/RHKI/876598/K5|VPLS:21707
10.204.84.155/VPLS:26701|10.204.84.155/VPLS:26701|10.204.84.155/VPLS:26701|NFO-MOBILITYUNI|NTE|NTE|||650-901C010249|||1322|01/VLMX/021612/SP|10.204.84.155|Y||1|||VPLS:26701
10.204.10.142/VPWS:29294|10.204.10.142/VPWS:29294|10.204.10.142/VPWS:29294|NFO-MOBILITYUNI|NTE|NTE|||452-904C010249|||516|02/EVCP/041012/PJ|10.204.10.142|||10|3|99/KRFN/445771/SB|VPWS:29294
192.168.113.83/L2CKT:32144|192.168.113.83/L2CKT:32144|192.168.113.83/L2CKT:32144|NTE-CFM-CFO|IPAG|NTE|||OER-0727415014|||1119|85/VLXP/051001/PT|192.168.113.83|||25|6|85/KQGN/050789/PT|L2CKT:32144
10.204.80.234/VPLS:22296|10.204.80.234/VPLS:22296|10.204.80.234/VPLS:22296|NTE-CFM-CFO|IPAG|NTE|||AWL-901NCC1011|||192|01/KITZ/031631/EV|10.204.80.234|||25|7|01/KITZ/031611/MR|VPLS:22296
10.204.132.85/VPWS:28942|10.204.132.85/VPWS:28942|10.204.132.85/VPWS:28942|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||2|19/EVCP/304903/RS|10.204.132.85|Y||5|||VPWS:28942
10.204.134.201/L2CKT:29983|10.204.134.201/L2CKT:29983|10.204.134.201/L2CKT:29983|||NTE|||AWL-901C010249|||3445|99/ABCD/657711/MN|10.204.134.201|||24|3|99/KRFN/338111/NV|L2CKT:29983
143.0.68.168/VPLS:32266|143.0.68.168/VPLS:32266|143.0.68.168/VPLS:32266|||IPAG|||||||01/KQGN/150513/UK|143.0.68.168|Y||ge-1/1/1|||VPLS:32266
10.204.10.163/VPLS:28963|10.204.10.163/VPLS:28963|10.204.10.163/VPLS:28963|NTE-CFM-CFO|IPAG|NTE|||AWL-901C010249|||451|03/MPTE/080912/AK|10.204.10.163|||9|3|88/KQGN/894362/SB|VPLS:28963
10.204.10.47/VPLS:28293|10.204.10.47/VPLS:28293|10.204.10.47/VPLS:28293|NFO-MOBILITYUNI|NTE|NTE|||AWL-901C010249|||100|52/IHDD/845485/DF|10.204.10.47|Y||1|||VPLS:28293
150.0.0.168/VPWS:26775|150.0.0.168/VPWS:26775|150.0.0.168/VPWS:26775|||IPAG|||||||53/UJKI/852413/HY|150.0.0.168|Y||ge-5/1/6|||VPWS:26775
