@rel(Composed_Of)
@from(PE_PPort)key|@to(PE_LPort)key
12.82.118.12/3/0/3|12.82.118.12/3/0/3/18
12.82.118.4/3/0/0|12.82.118.4/3/0/0/14
12.82.118.4/3/1/6|12.82.118.4/3/1/6/32
12.82.118.4/10/1/7|12.82.118.4/10/1/7/5
12.82.118.4/10/1/7|12.82.118.4/10/1/7/28
12.82.118.12/11/1/0|12.82.118.12/11/1/0/42
12.82.118.12/11/1/0|12.82.118.12/11/1/0/2
12.82.16.83/1/1/0|12.82.16.83/1/1/0/6021
12.82.118.12/10/1/1|12.82.118.12/10/1/1/1
12.82.16.82/1/0/0|12.82.16.82/1/0/0/6013
12.82.16.83/1/1/0|12.82.16.83/1/1/0/6054
12.82.118.12/3/0/5|12.82.118.12/3/0/5/3
12.82.118.4/3/2/5|12.82.118.4/3/2/5/20
12.82.16.83/1/2/0|12.82.16.83/1/2/0/6010
12.82.118.12/3/0/1|12.82.118.12/3/0/1/16
12.82.118.12/10/0/3|12.82.118.12/10/0/3/21
12.82.118.12/3/3/2|12.82.118.12/3/3/2/2
12.82.118.4/3/0/0|12.82.118.4/3/0/0/15
12.82.118.4/3/2/7|12.82.118.4/3/2/7/1
12.82.118.4/3/0/7|12.82.118.4/3/0/7/21
150.0.0.212/0/1/4|150.0.0.212/0/1/4/64
12.123.80.212/2/0/8|12.123.80.212/2/0/8/6006
12.82.118.4/10/1/1|12.82.118.4/10/1/1/23
12.82.118.4/3/0/6|12.82.118.4/3/0/6/23
12.82.16.82/1/0/0|12.82.16.82/1/0/0/6024
149.9.0.27/0/0/0|149.9.0.27/0/0/0/6007
12.82.118.12/3/0/5|12.82.118.12/3/0/5/19
12.82.16.82/1/1/0|12.82.16.82/1/1/0/6042
12.82.118.12/3/1/1|12.82.118.12/3/1/1/2
12.82.16.83/1/1/0|12.82.16.83/1/1/0/6018
12.82.118.4/3/1/6|12.82.118.4/3/1/6/26
12.82.118.12/2/1/0|12.82.118.12/2/1/0/1
12.82.16.82/1/1/0|12.82.16.82/1/1/0/6035
12.82.118.12/3/2/0|12.82.118.12/3/2/0/2
12.82.118.12/3/0/0|12.82.118.12/3/0/0/4
12.82.16.82/1/0/0|12.82.16.82/1/0/0/6048
10.144.0.154/3/1/7|10.144.0.154/3/1/7/563
150.0.0.212/1/1/1|150.0.0.212/1/1/1/60
12.82.118.12/11/1/0|12.82.118.12/11/1/0/66
10.144.0.154/2/2/1|10.144.0.154/2/2/1/6003
12.82.118.4/3/2/1|12.82.118.4/3/2/1/10
12.82.118.4/3/1/6|12.82.118.4/3/1/6/29
150.0.0.212/0/0/1|150.0.0.212/0/0/1/8
12.82.118.12/11/1/0|12.82.118.12/11/1/0/85
12.82.118.12/11/1/0|12.82.118.12/11/1/0/61
12.82.16.83/1/2/0|12.82.16.83/1/2/0/6006
12.82.118.4/10/1/1|12.82.118.4/10/1/1/13
12.82.118.4/3/1/9|12.82.118.4/3/1/9/27
12.82.118.12/3/0/1|12.82.118.12/3/0/1/11
12.82.16.82/1/1/0|12.82.16.82/1/1/0/6046
12.82.0.59/4/1/5|12.82.0.59/4/1/5/6000
12.82.118.4/3/0/7|12.82.118.4/3/0/7/17
12.82.118.4/10/2/9|12.82.118.4/10/2/9/0
12.82.118.12/3/2/5|12.82.118.12/3/2/5/1
12.82.118.12/3/0/5|12.82.118.12/3/0/5/24
12.82.118.12/11/1/0|12.82.118.12/11/1/0/52
12.82.118.12/11/1/0|12.82.118.12/11/1/0/38
12.82.118.4/3/2/5|12.82.118.4/3/2/5/15
149.9.0.27/1/0/0|149.9.0.27/1/0/0/6012
12.82.118.4/3/1/6|12.82.118.4/3/1/6/6
12.82.118.12/11/1/0|12.82.118.12/11/1/0/37
12.82.118.4/3/1/0|12.82.118.4/3/1/0/2
12.82.118.4/3/1/4|12.82.118.4/3/1/4/1
12.82.118.4/3/0/5|12.82.118.4/3/0/5/2
10.0.38.121/1/1/0|10.0.38.121/1/1/0/34
12.82.118.4/10/1/1|12.82.118.4/10/1/1/10
12.82.118.12/3/3/2|12.82.118.12/3/3/2/13
12.82.118.4/3/3/5|12.82.118.4/3/3/5/1
12.82.118.4/3/1/7|12.82.118.4/3/1/7/11
12.82.118.4/3/2/2|12.82.118.4/3/2/2/10
12.82.0.59/3/0/1|12.82.0.59/3/0/1/5001
12.82.118.4/10/1/5|12.82.118.4/10/1/5/22
12.82.118.4/3/2/9|12.82.118.4/3/2/9/7
12.82.16.83/1/1/0|12.82.16.83/1/1/0/6020
12.82.118.4/11/2/0|12.82.118.4/11/2/0/5
12.82.118.12/3/1/5|12.82.118.12/3/1/5/1
12.82.118.12/3/0/5|12.82.118.12/3/0/5/7
12.82.0.59/3/2/4|12.82.0.59/3/2/4/5000
12.82.16.83/1/1/0|12.82.16.83/1/1/0/6001
12.82.0.59/2/2/0|12.82.0.59/2/2/0/6000
12.82.118.4/3/2/4|12.82.118.4/3/2/4/4
12.82.0.59/3/0/6|12.82.0.59/3/0/6/6001
12.82.118.4/10/2/1|12.82.118.4/10/2/1/23
12.82.118.4/3/2/7|12.82.118.4/3/2/7/3
12.82.118.12/3/3/0|12.82.118.12/3/3/0/9
12.82.118.4/10/1/3|12.82.118.4/10/1/3/1
12.82.118.4/10/2/1|12.82.118.4/10/2/1/6
12.82.0.59/2/0/6|12.82.0.59/2/0/6/5000
12.82.118.4/10/1/5|12.82.118.4/10/1/5/16
150.0.0.212/0/0/2|150.0.0.212/0/0/2/6
10.144.0.154/2/0/4|10.144.0.154/2/0/4/6003
12.82.118.12/11/1/0|12.82.118.12/11/1/0/67
12.82.118.12/10/0/3|12.82.118.12/10/0/3/6
12.82.16.83/1/1/0|12.82.16.83/1/1/0/6002
12.82.118.4/3/2/4|12.82.118.4/3/2/4/5
12.82.118.12/2/0/0|12.82.118.12/2/0/0/10
12.82.118.12/11/1/0|12.82.118.12/11/1/0/58
12.82.118.4/10/2/1|12.82.118.4/10/2/1/18
12.82.16.82/1/1/0|12.82.16.82/1/1/0/6026
12.82.118.4/3/2/5|12.82.118.4/3/2/5/14
12.82.118.4/3/2/1|12.82.118.4/3/2/1/12
12.82.118.4/3/0/7|12.82.118.4/3/0/7/27
12.82.118.12/10/3/9|12.82.118.12/10/3/9/5
12.82.118.4/10/1/5|12.82.118.4/10/1/5/3
12.82.16.82/1/0/0|12.82.16.82/1/0/0/6019
149.9.0.27/0/0/0|149.9.0.27/0/0/0/6008
12.82.118.4/3/1/7|12.82.118.4/3/1/7/17
12.82.118.12/11/1/0|12.82.118.12/11/1/0/23
12.82.0.59/3/3/2|12.82.0.59/3/3/2/6000
10.144.0.154/2/3/1|10.144.0.154/2/3/1/6000
12.82.118.12/11/1/0|12.82.118.12/11/1/0/10
12.82.118.4/3/1/7|12.82.118.4/3/1/7/6
12.82.118.12/3/3/2|12.82.118.12/3/3/2/5
12.82.118.12/10/0/3|12.82.118.12/10/0/3/3
12.82.16.82/1/0/0|12.82.16.82/1/0/0/6038
12.82.118.12/3/0/0|12.82.118.12/3/0/0/6
12.82.0.59/2/0/2|12.82.0.59/2/0/2/5000
12.82.118.12/10/3/9|12.82.118.12/10/3/9/1
12.82.118.4/3/1/0|12.82.118.4/3/1/0/6
12.82.0.59/3/2/2|12.82.0.59/3/2/2/6000
12.82.118.4/10/0/6|12.82.118.4/10/0/6/9
12.82.118.4/3/2/9|12.82.118.4/3/2/9/16
12.82.16.82/1/1/0|12.82.16.82/1/1/0/6023
12.82.118.4/3/2/2|12.82.118.4/3/2/2/13
12.82.118.12/3/0/5|12.82.118.12/3/0/5/15
12.82.0.59/3/1/0|12.82.0.59/3/1/0/6000
12.82.16.83/1/2/0|12.82.16.83/1/2/0/6032
12.82.16.83/1/1/0|12.82.16.83/1/1/0/6034
12.82.0.59/2/1/4|12.82.0.59/2/1/4/6000
12.82.118.4/3/0/6|12.82.118.4/3/0/6/7
149.9.0.27/0/0/0|149.9.0.27/0/0/0/6011
12.82.118.12/3/1/0|12.82.118.12/3/1/0/11
12.82.118.4/3/1/1|12.82.118.4/3/1/1/1
12.82.118.4/10/1/5|12.82.118.4/10/1/5/19
12.82.118.4/3/2/2|12.82.118.4/3/2/2/2
12.82.16.83/1/2/0|12.82.16.83/1/2/0/6027
12.82.16.82/1/1/0|12.82.16.82/1/1/0/6003
12.82.0.59/3/2/0|12.82.0.59/3/2/0/5001
12.123.80.212/0/0/8|12.123.80.212/0/0/8/30
