@rel(PLink)
@from(PE_PPort)key|@to(PE_PPort)key
10.144.0.147/0/1/0|10.144.0.136/0/3/0
143.0.68.170/2/0/3|143.0.68.254/2/2/1
8.8.0.154/0/1/9|8.8.0.171/5/0/3
12.82.0.62/1/3/7|12.82.0.53/4/0/8
150.0.0.212/1/0/6|150.0.0.218/4/0/2
12.123.80.214/3/0/4|149.8.0.20/0/0/2
10.144.0.155/0/1/0|143.0.24.251/0/1/1
12.82.0.53/5/1/0|12.82.0.55/5/1/0
149.0.3.222/5/1/6|149.0.3.223/5/0/6
8.8.0.148/0/0/2|8.8.0.173/2/0/2
8.8.0.148/1/0/1|8.8.0.118/0/0/3
12.82.0.53/1/0/6|12.82.0.55/2/0/7
8.8.0.205/1/0/7|8.8.0.206/1/0/9
149.0.3.223/4/0/1|149.0.3.200/1/0/5
10.144.0.137/3/3/9|10.0.38.72/1/0/5
12.123.80.29/1/0/5|12.123.80.34/2/0/1
10.144.0.137/4/1/7|10.0.38.78/5/1/1
12.82.0.62/1/1/1|12.82.0.63/3/0/5
12.82.0.53/3/0/6|12.82.0.62/1/3/0
150.0.0.212/0/0/1|150.0.0.213/2/0/0
12.80.72.65/0/0/1|12.80.72.64/0/0/2
150.0.0.89/1/3/1|148.0.131.253/4/1/0
149.0.3.196/0/3/1|149.0.3.250/5/0/4
149.0.3.223/1/0/9|149.0.3.200/1/0/4
149.0.3.198/0/0/4|149.0.3.215/0/0/3
8.8.0.148/1/0/7|8.8.0.118/1/2/1
10.144.0.65/0/3/0|10.144.0.137/0/0/0
149.0.3.222/1/0/7|149.0.3.223/1/0/7
150.0.0.215/1/0/0|150.0.0.212/1/1/0
8.8.0.205/2/0/9|8.8.0.220/1/0/9
12.123.80.17/1/0/5|12.123.80.65/0/0/2
12.123.80.214/2/0/8|12.123.80.84/0/1/7
12.80.72.19/1/0/1|12.80.72.18/3/2/9
10.144.0.137/3/3/0|10.0.38.82/1/0/2
150.0.0.215/1/0/1|150.0.0.212/1/1/1
10.144.0.154/0/1/0|10.144.0.153/4/2/0
12.82.0.53/2/0/5|12.82.0.62/1/2/7
149.0.3.222/5/1/5|149.0.3.223/5/0/5
143.0.68.34/1/0/2|143.0.68.35/1/0/2
10.144.0.65/0/1/0|10.144.0.136/0/0/0
150.0.0.212/1/1/1|150.0.0.215/1/0/1
12.123.80.143/0/0/4|12.123.80.84/0/1/0
12.123.80.15/1/0/6|12.123.80.37/0/0/3
148.0.131.182/2/0/3|148.0.131.183/4/0/0
12.123.80.212/2/1/9|12.123.80.214/3/0/9
149.0.3.196/2/0/2|149.0.3.250/5/0/0
150.0.0.168/5/3/8|150.0.0.167/1/1/2
149.0.3.222/1/1/1|149.0.3.223/1/0/1
143.0.68.169/4/0/0|143.0.68.184/1/0/0
12.123.80.17/1/0/2|12.123.80.27/1/0/0
12.82.0.53/3/0/7|12.82.0.62/1/3/5
143.0.68.170/0/3/9|143.0.68.254/1/0/1
12.82.0.53/2/0/2|12.82.0.55/2/0/3
12.80.72.65/0/0/2|12.80.72.64/0/0/1
150.0.0.232/0/0/6|143.0.68.18/2/0/0
149.0.3.222/5/2/1|149.0.3.223/5/2/1
10.144.0.154/4/0/0|10.144.0.153/4/3/0
149.0.3.223/5/0/7|149.0.3.222/5/0/7
12.82.0.62/1/3/1|12.82.0.53/5/1/7
12.82.0.53/1/0/8|12.82.0.62/1/3/2
143.0.68.35/1/0/2|143.0.68.34/1/0/2
150.0.0.215/1/1/2|148.0.15.164/GigabitEthernet0/3/0
149.0.3.223/1/0/5|143.0.68.112/1/0/2
12.82.0.62/1/2/7|12.82.0.53/2/0/5
8.8.0.148/1/0/8|8.8.0.242/0/0/0
150.0.0.212/1/1/2|10.204.242.50/GigabitEthernet0/0
143.0.68.34/1/0/1|143.0.68.35/1/0/1
149.0.3.195/0/1/0|149.0.3.204/0/1/0
10.144.0.137/1/3/1|10.0.38.72/1/0/2
12.123.80.197/1/0/0|12.123.80.32/2/0/8
143.0.68.184/0/0/1|143.0.68.169/2/2/1
143.0.68.35/1/0/4|143.0.68.34/1/0/4
143.0.68.170/1/0/1|143.0.68.169/1/0/4
10.144.0.137/4/0/9|10.0.38.78/5/0/4
143.0.68.212/0/0/2|143.0.24.71/0/0/0
