@ref(networkElement)|@const(IpagPPort)class
@index(CE_PPort)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|aafda_role|acnaban|assoc_nni_pport|clci|clfi|diverse_circuit_id|device_type|ineffect|mpa_connect_type|nmvlan|port_aid|port_ipaddr|port_num|remote_device_name|remote_device_type|remote_device_ipaddr|remote_deviceloopbackip|remote_slot_name|remote_port_aid|slavlan|cdnbind|uni_nni
10.204.10.149/1/1|10.204.10.149/1/1|10.204.10.149/1/1|NFO-MOBILITY|NTE|NTE|true|B|||||99/KQGN/337281/SB_287548||ADTRAN 5000 SERIES|N||4092|1||1|DYBHFLMBM02|ADTRAN 800 SERIES|10.204.10.150||org.mozilla.javascript.UniqueTag@2d45a8c: NOT_FOUND|301|||NNI
10.204.84.23/28|10.204.84.23/28|10.204.84.23/28|NTE-CFO|IPAG|NTE|true|S||||26/KRFN/061090/NV|||CIENA NTE|Y|||28||0|||||||||UNI
10.204.80.205/25|10.204.80.205/25|10.204.80.205/25|NFO-MOBILITY|NTE|NTE|true|S|||||101/GE1N/SNJSCAHUDK1/SNJSCAHUFT2||CIENA NTE|N||4092|25||1|SNJSCAHUDK1|JUNIPER MX SERIES|12.122.122.248|12.123.80.212||ge-0/0/5|||NNI
192.168.128.102/5|192.168.128.102/5|192.168.128.102/5|NTE-CFO|IPAG|NTE|true|B|||9|58/KRGN/700562/SB|||CIENA NTE|Y|||5||0|||||||||UNI
10.204.90.244/25|10.204.90.244/25|10.204.90.244/25|NFO-MOBILITY|NTE|NTE|true|S|||||P101W/GE1N/CRCYNVAAN26/CRCYNVAA5D5||CIENA NTE|N|||25||0|CRCYNVAA5D5|JUNIPER MX SERIES|12.81.161.220|8.8.0.205||ge-2/0/3|||NNI
10.204.208.84/28|10.204.208.84/28|10.204.208.84/28|NFO-MOBILITYUNI|NTE|NTE|true|S|||25|47/KRFN/456117/NV|||CIENA NTE|Y|||28||0|||||||||UNI
10.204.85.44/12|10.204.85.44/12|10.204.85.44/12|NFO-MOBILITY|NTE|NTE|true|S|||||JU102/GE10/CRCYNVAA3EB/CRCYNVMAD06||CIENA NTE|Y|||12||1|CRCYNVMAD06|JUNIPER MX SERIES|10.204.242.113|149.0.3.194||xe-4/2/0|4091||NNI
10.204.132.151/23|10.204.132.151/23|10.204.132.151/23|NFO-EMUX|EMUX|NTE|true|B|||||101/GE1N/GSVLFLANAC1/GSVLFLANZM1||CIENA EMUX||||23||1|GSVLFLANAC1|JUNIPER MX SERIES|10.204.243.114|143.0.68.240||ge-2/1/0|||NNI
192.168.95.31/10|192.168.95.31/10|192.168.95.31/10|NFO-MOBILITY|NTE|NTE|true|S|||||JU112/GE1N/SNJSCA1A002/SNTCCA0111W||CIENA NTE|Y||4092|10||1|SNTCCA0111W|JUNIPER MX SERIES|192.168.112.44|10.144.0.155||ge-1/2/8|4091||NNI
10.204.84.128/26|10.204.84.128/26|10.204.84.128/26|NFO-MOBILITY|NTE|NTE|true|S|AAF-SECONDARY||||JU102/GE1N/CRCYNVMAL14/CRCYNVMAW72|JU103/GE1N/CRCYNVMAL14/CRCYNVMAW71|CIENA NTE|Y||4092|26||1|CRCYNVMAW72|JUNIPER MX SERIES|143.1.33.31|143.0.68.44||ge-0/0/3|||NNI
10.204.82.191/25|10.204.82.191/25|10.204.82.191/25|NFO-MOBILITY|NTE|NTE|true|S|||||JU101/GE1N/RENONVYABV6/RENONVYAPFR||CIENA NTE|Y||4092|25||1|RENONVYAPFR|JUNIPER MX SERIES|10.204.241.43|150.0.0.89||ge-1/0/8|||NNI
10.204.9.185/9|10.204.9.185/9|10.204.9.185/9|NFO-MOBILITY|NTE|NTE|true|B|||||JU101/GE1N/DYBHFLMAL03/DYBHFLMAL22||CIENA NTE|Y||4092|9||1|DYBHFLMAL03|JUNIPER MX SERIES|10.204.242.121|149.0.3.202||ge-4/0/0|||NNI
10.204.85.79/23|10.204.85.79/23|10.204.85.79/23|NFO-EMUX|EMUX|NTE|true|S|||||103/GE1N/CRCYNVMAD09/CRCYNVMAD81||CIENA EMUX||||23||1|CRCYNVMAD09|JUNIPER MX SERIES|10.204.242.126|149.0.3.206||ge-0/0/0|||NNI
192.168.113.67/25|192.168.113.67/25|192.168.113.67/25|NFO-MOBILITY|NTE|NTE|true|B|||||JU104/GE1N/ORLDFLMAH0W/ORLDFLMA51W||CIENA NTE|Y||4092|25||1|ORLDFLMA51W|JUNIPER MX SERIES|192.168.112.26|10.144.0.137||ge-1/1/5|||NNI
10.204.85.55/9|10.204.85.55/9|10.204.85.55/9|NFO-MOBILITY|NTE|NTE|true|S|||||JU101/GE1N/CRCYNVMAD01/CRCYNVMAZSB||CIENA NTE|Y||4092|9||1|CRCYNVMAD01|JUNIPER MX SERIES|10.204.242.115|149.0.3.196||ge-2/0/3|||NNI
10.204.160.82/21|10.204.160.82/21|10.204.160.82/21|NFO-EMUX|EMUX|NTE|true|B|||||S101P/GE1N/RLGHNCMOPS2/RLGHNCMOPS4||CIENA EMUX|N|||21||1|RLGHNCMOPS2|CIENA NTE|10.204.160.80|12.82.100.7||28|||NNI
10.204.84.243/22|10.204.84.243/22|10.204.84.243/22|NFO-EMUX|EMUX|NTE|true|S|||||102/GE1N/CRCYNVMAD05/CRCYNVMAD79||CIENA EMUX||||22||1|CRCYNVMAD05|JUNIPER MX SERIES|10.204.242.137|149.0.3.216||ge-1/0/0|||NNI
10.204.11.244/9|10.204.11.244/9|10.204.11.244/9|NFO-MOBILITY|NTE|NTE|true|B|||||JU104/GE1N/DYBHFLMAN2S/DYBHFLMA308||CIENA NTE|Y||4092|9||1|DYBHFLMA308|JUNIPER MX SERIES|10.204.243.122|143.0.68.248||ge-0/2/1|||NNI
10.204.64.180/SM-A/1|10.204.64.180/SM-A/1|10.204.64.180/SM-A/1|NFO-TA5000|TA5000|NTE|true|B|||||J101H/GE1N/ORLDFL32LP2/ORLDFL32PB1||ADTRAN 5000 SERIES||||1||0|ORLDFL32PB1|JUNIPER MX SERIES|12.122.122.55|12.123.80.29||ge-2/0/8|||NNI
