@rel(Composed_Of)
@from(PE_LPort)key|@to(EVCNode)key
143.0.68.212/0/0/5/6005|143.0.68.212/VPLS:28914
149.4.64.12/8/1/0/1|149.4.64.12/VPLS:31433
143.0.68.244/0/0/0/6001|143.0.68.244/VPLS:28886
150.0.0.168/5/1/1/6001|150.0.0.168/VPWS:25687
143.0.68.230/2/2/3/6015|143.0.68.230/VPWS:29155
149.0.3.203/1/0/0/6027|149.0.3.203/VPLS:28743
143.0.68.242/3/0/3/6003|143.0.68.242/VPWS:31728
149.9.0.6/0/3/0/6001|149.9.0.6/VPLS:26076
149.0.3.222/2/1/3/6003|149.0.3.222/VPLS:28051
143.0.68.184/0/2/0/6001|143.0.68.184/L2CKT:30939
10.0.38.74/1/0/0/6000|10.0.38.74/VPWS:27242
10.0.38.74/1/0/0/6005|10.0.38.74/VPLS:27271
10.144.0.137/5/2/2/6034|10.144.0.137/VPLS:32228
10.144.0.137/1/2/0/6001|10.144.0.137/L2CKT:30402
150.0.0.168/5/1/6/6012|150.0.0.168/VPWS:25819
143.0.68.184/0/0/5/6022|143.0.68.184/VPWS:29232
10.0.38.121/2/0/2/6001|10.0.38.121/VPLS:30374
149.0.3.222/1/2/0/6000|149.0.3.222/L2CKT:27925
143.0.68.184/0/1/6/6033|143.0.68.184/VPLS:30834
10.144.0.137/1/3/5/6046|10.144.0.137/VPLS:24114
78.23.44.28/1/2/3/3|78.23.44.28/VPLS:18446
12.122.72.115/4/2/1/3|12.122.72.115/VPLS:20884
149.9.0.29/0/0/2/6005|149.9.0.29/VPWS:26217
143.0.68.18/0/0/0/6001|143.0.68.18/VPWS:25591
10.0.36.78/2/1/4/1|10.0.36.78/VPWS:28601
