@rel(Composed_Of)
@from(PE_Device)key|@to(PE_Slot)key
12.80.4.14|12.80.4.14/0
149.8.0.160|149.8.0.160/7
10.0.36.78|10.0.36.78/7
149.4.64.2|149.4.64.2/8
10.0.8.124|10.0.8.124/7
12.80.0.208|12.80.0.208/5
143.0.68.169|143.0.68.169/4
149.4.64.7|149.4.64.7/3
12.122.72.112|12.122.72.112/5
12.80.68.139|12.80.68.139/1
12.82.0.55|12.82.0.55/2
148.0.131.193|148.0.131.193/1
143.0.68.49|143.0.68.49/0
8.8.0.204|8.8.0.204/5
12.122.72.166|12.122.72.166/0
10.0.36.17|10.0.36.17/4
8.8.0.118|8.8.0.118/1
12.80.68.128|12.80.68.128/1
12.80.72.9|12.80.72.9/2
143.0.24.149|143.0.24.149/3
150.0.0.131|150.0.0.131/0
10.144.0.123|10.144.0.123/4
10.0.36.74|10.0.36.74/10
12.80.4.15|12.80.4.15/1
10.0.34.15|10.0.34.15/3
10.204.76.1|10.204.76.1/1
10.144.0.136|10.144.0.136/1
12.123.80.144|12.123.80.144/5
149.0.3.222|149.0.3.222/1
10.0.36.7|10.0.36.7/11
10.144.0.123|10.144.0.123/1
10.0.40.34|10.0.40.34/3
143.0.68.172|143.0.68.172/4
10.0.36.68|10.0.36.68/0
10.0.38.72|10.0.38.72/0
149.0.3.207|149.0.3.207/0
10.144.0.65|10.144.0.65/0
10.0.40.34|10.0.40.34/0
12.80.72.70|12.80.72.70/5
12.80.0.209|12.80.0.209/8
149.0.3.223|149.0.3.223/1
12.80.84.13|12.80.84.13/4
143.0.68.112|143.0.68.112/1
149.4.64.2|149.4.64.2/2
12.123.80.34|12.123.80.34/2
12.123.80.29|12.123.80.29/2
148.0.131.253|148.0.131.253/1
143.0.24.131|143.0.24.131/1
10.0.40.7|10.0.40.7/7
143.0.68.118|143.0.68.118/1
10.0.40.35|10.0.40.35/0
149.4.64.12|149.4.64.12/3
10.144.0.136|10.144.0.136/4
149.4.64.5|149.4.64.5/1
148.0.0.32|148.0.0.32/2
12.80.68.135|12.80.68.135/4
10.0.36.19|10.0.36.19/4
143.0.68.206|143.0.68.206/1
10.0.36.23|10.0.36.23/2
149.0.3.157|149.0.3.157/1
12.80.0.208|12.80.0.208/9
143.0.24.183|143.0.24.183/0
12.123.80.15|12.123.80.15/2
12.122.72.162|12.122.72.162/0
10.0.36.78|10.0.36.78/4
149.0.3.250|149.0.3.250/4
12.80.72.109|12.80.72.109/2
10.0.40.35|10.0.40.35/5
149.9.0.35|149.9.0.35/1
149.4.64.2|149.4.64.2/1
10.0.32.65|10.0.32.65/2
12.80.72.71|12.80.72.71/0
143.0.68.242|143.0.68.242/3
10.0.36.78|10.0.36.78/1
12.82.0.56|12.82.0.56/5
149.4.64.8|149.4.64.8/11
12.80.72.52|12.80.72.52/3
149.4.64.6|149.4.64.6/0
150.0.0.182|150.0.0.182/2
12.80.68.138|12.80.68.138/0
12.123.80.191|12.123.80.191/4
149.9.0.18|149.9.0.18/0
10.144.0.149|10.144.0.149/9
10.144.0.112|10.144.0.112/1
143.0.24.44|143.0.24.44/0
10.0.36.6|10.0.36.6/2
