@rel(Composed_Of)
@from(PE_Card)key|@to(PE_PPort)key
12.82.118.25/0/0|12.82.118.25/0/0/0
12.122.122.84/3/2|12.122.122.84/3/2/3
12.122.119.228/3/1|12.122.119.228/3/1/6
12.82.40.111/9/0|12.82.40.111/9/0/0
12.82.86.29/5/2|12.82.86.29/5/2/1
12.122.122.103/3/0|12.122.122.103/3/0/9
149.9.0.18/0/3|149.9.0.18/0/3/0
12.82.62.4/8/3|12.82.62.4/8/3/0
165.87.251.8/5/2|165.87.251.8/5/2/2
172.23.4.108/0/0|172.23.4.108/0/0/0
12.82.66.30/6/1|12.82.66.30/6/1/4
12.82.40.80/1/0|12.82.40.80/1/0/0
12.122.122.90/3/0|12.122.122.90/3/0/8
12.82.16.64/3/0|12.82.16.64/3/0/7
12.82.118.23/7/0|12.82.118.23/7/0/0
12.82.0.94/0/1|12.82.0.94/0/1/0
12.82.76.28/2/1|12.82.76.28/2/1/3
12.82.74.3/2/0|12.82.74.3/2/0/7
12.82.124.64/3/0|12.82.124.64/3/0/0
12.82.78.1/10/0|12.82.78.1/10/0/0
12.82.86.28/5/0|12.82.86.28/5/0/8
12.82.56.8/5/0|12.82.56.8/5/0/7
12.82.40.79/2/1|12.82.40.79/2/1/5
12.122.122.162/3/2|12.122.122.162/3/2/3
172.30.166.2/7/1|172.30.166.2/7/1/7
12.82.16.62/5/0|12.82.16.62/5/0/1
143.0.68.172/0/0|143.0.68.172/0/0/8
12.83.164.120/4/0|12.83.164.120/4/0/0
12.122.122.78/0/2|12.122.122.78/0/2/0
143.0.24.232/0/0|143.0.24.232/0/0/0
150.0.0.216/0/0|150.0.0.216/0/0/2
12.82.102.23/5/0|12.82.102.23/5/0/0
172.30.160.3/7/3|172.30.160.3/7/3/2
12.82.8.71/4/0|12.82.8.71/4/0/6
12.82.40.99/10/0|12.82.40.99/10/0/1
12.122.124.2/4/2|12.122.124.2/4/2/0
1.2.3.4/0/1|1.2.3.4/0/1/5
12.82.62.6/3/0|12.82.62.6/3/0/6
12.122.122.163/3/3|12.122.122.163/3/3/5
12.82.24.65/3/1|12.82.24.65/3/1/8
143.0.68.172/3/0|143.0.68.172/3/0/0
12.82.96.26/2/2|12.82.96.26/2/2/2
12.82.86.27/2/2|12.82.86.27/2/2/6
12.82.110.13/2/1|12.82.110.13/2/1/7
10.0.36.144/4/3|10.0.36.144/4/3/0
12.82.40.122/4/0|12.82.40.122/4/0/3
12.82.90.13/9/0|12.82.90.13/9/0/9
12.82.40.122/3/2|12.82.40.122/3/2/2
12.82.74.29/2/0|12.82.74.29/2/0/1
12.80.0.207/0/1|12.80.0.207/0/1/3
12.122.215.70/4/1|12.122.215.70/4/1/0
149.0.3.250/4/3|149.0.3.250/4/3/8
12.82.0.55/3/0|12.82.0.55/3/0/4
12.82.102.27/8/2|12.82.102.27/8/2/4
12.82.24.44/8/0|12.82.24.44/8/0/0
12.82.100.1/2/1|12.82.100.1/2/1/5
12.82.116.2/9/1|12.82.116.2/9/1/4
12.122.119.192/1/3|12.122.119.192/1/3/0
12.82.49.72/0/2|12.82.49.72/0/2/2
12.122.126.99/1/3|12.122.126.99/1/3/0
12.82.96.1/3/1|12.82.96.1/3/1/7
12.82.90.15/1/0|12.82.90.15/1/0/2
12.122.120.183/5/1|12.122.120.183/5/1/0
12.82.70.31/8/1|12.82.70.31/8/1/0
12.82.108.4/10/1|12.82.108.4/10/1/4
165.87.208.211/2/2|165.87.208.211/2/2/0
172.30.166.3/7/1|172.30.166.3/7/1/7
12.82.70.28/9/2|12.82.70.28/9/2/2
143.0.24.60/0/0|143.0.24.60/0/0/1
143.0.68.174/0/1|143.0.68.174/0/1/0
172.30.180.2/7/1|172.30.180.2/7/1/5
12.82.56.3/2/2|12.82.56.3/2/2/6
12.122.122.186/4/2|12.122.122.186/4/2/0
143.0.24.6/0/0|143.0.24.6/0/0/2
12.82.106.6/1/2|12.82.106.6/1/2/0
12.82.24.44/5/2|12.82.24.44/5/2/1
12.82.16.57/3/3|12.82.16.57/3/3/0
12.82.104.10/2/1|12.82.104.10/2/1/6
12.82.24.58/5/0|12.82.24.58/5/0/1
12.123.80.46/1/1|12.123.80.46/1/1/0
12.82.94.22/2/0|12.82.94.22/2/0/6
12.82.0.114/7/0|12.82.0.114/7/0/0
12.82.114.23/10/2|12.82.114.23/10/2/5
12.83.164.160/0/0|12.83.164.160/0/0/2
12.82.16.69/1/0|12.82.16.69/1/0/4
12.82.62.14/0/0|12.82.62.14/0/0/0
12.122.122.201/3/0|12.122.122.201/3/0/3
12.122.120.192/4/3|12.122.120.192/4/3/0
12.122.122.179/0/2|12.122.122.179/0/2/1
12.123.80.212/2/0|12.123.80.212/2/0/2
12.82.40.101/7/1|12.82.40.101/7/1/0
12.82.114.16/2/0|12.82.114.16/2/0/0
12.83.164.26/1/1|12.83.164.26/1/1/0
143.0.68.13/1/0|143.0.68.13/1/0/0
12.82.118.10/3/1|12.82.118.10/3/1/9
12.82.16.80/2/1|12.82.16.80/2/1/0
12.82.0.52/2/1|12.82.0.52/2/1/7
12.82.0.126/0/0|12.82.0.126/0/0/0
12.83.164.177/1/3|12.83.164.177/1/3/3
12.82.16.65/2/3|12.82.16.65/2/3/0
12.82.80.31/5/0|12.82.80.31/5/0/8
12.82.24.69/1/1|12.82.24.69/1/1/5
12.82.106.5/5/2|12.82.106.5/5/2/3
12.82.24.66/10/2|12.82.24.66/10/2/1
12.82.114.11/2/3|12.82.114.11/2/3/0
12.82.127.129/1/3|12.82.127.129/1/3/6
12.122.127.36/4/3|12.122.127.36/4/3/0
12.82.24.44/9/0|12.82.24.44/9/0/5
165.87.65.217/0/0|165.87.65.217/0/0/0
12.82.96.3/2/0|12.82.96.3/2/0/3
12.122.122.33/3/2|12.122.122.33/3/2/2
12.82.48.200/0/3|12.82.48.200/0/3/6
12.82.82.16/2/1|12.82.82.16/2/1/1
