@rel(Composed_Of)
@from(PE_PPort)key|@to(PE_LPort)key
8.8.0.219/0/0/1|8.8.0.219/0/0/1/5
149.9.0.27/1/0/0|149.9.0.27/1/0/0/6000
143.0.68.43/0/0/0|143.0.68.43/0/0/0/6000
10.0.38.63/1/0/3|10.0.38.63/1/0/3/6
10.0.36.75/4/0/9|10.0.36.75/4/0/9/1
10.0.36.78/0/2/4|10.0.36.78/0/2/4/2
10.0.40.7/5/0/3|10.0.40.7/5/0/3/2
10.0.40.1/1/1/2|10.0.40.1/1/1/2/4
8.8.0.167/2/0/5|8.8.0.167/2/0/5/2
12.123.68.1/2/3/0|12.123.68.1/2/3/0/20
12.123.68.4/3/0/0|12.123.68.4/3/0/0/10
143.0.68.23/4/2/0|143.0.68.23/4/2/0/56
143.0.24.168/4/1/0|143.0.24.168/4/1/0/109
10.0.36.72/2/1/8|10.0.36.72/2/1/8/1
148.0.131.239/5/0/0|148.0.131.239/5/0/0/6153
8.8.0.169/0/0/9|8.8.0.169/0/0/9/3
10.0.36.73/1/0/5|10.0.36.73/1/0/5/2
143.0.68.51/2/0/2|143.0.68.51/2/0/2/15
10.144.0.62/7/1/0|10.144.0.62/7/1/0/4
10.144.0.61/10/0/0|10.144.0.61/10/0/0/10
143.0.24.102/0/0/5|143.0.24.102/0/0/5/12
10.144.0.137/1/1/9|10.144.0.137/1/1/9/749
10.0.36.78/2/3/4|10.0.36.78/2/3/4/1
143.0.68.242/3/2/5|143.0.68.242/3/2/5/6000
149.4.64.2/0/2/4|149.4.64.2/0/2/4/1
12.123.80.122/2/1/1|12.123.80.122/2/1/1/19
10.144.0.112/0/3/0|10.144.0.112/0/3/0/73
12.80.72.34/0/0/3|12.80.72.34/0/0/3/9
143.0.68.71/1/0/3|143.0.68.71/1/0/3/13
149.0.3.157/1/0/1|149.0.3.157/1/0/1/6
150.0.0.168/5/1/6|150.0.0.168/5/1/6/6023
12.123.80.214/1/0/1|12.123.80.214/1/0/1/6000
10.144.0.65/5/2/0|10.144.0.65/5/2/0/6003
148.0.131.239/5/0/0|148.0.131.239/5/0/0/6103
10.0.36.21/9/3/3|10.0.36.21/9/3/3/2
10.0.36.23/4/0/2|10.0.36.23/4/0/2/1
10.0.36.78/2/0/1|10.0.36.78/2/0/1/1
12.82.0.62/2/0/5|12.82.0.62/2/0/5/37
149.8.0.31/0/0/4|149.8.0.31/0/0/4/14
143.0.24.145/8/0/0|143.0.24.145/8/0/0/43
10.144.0.62/9/2/4|10.144.0.62/9/2/4/12
143.2.0.1/0/0/4|143.2.0.1/0/0/4/0
10.0.40.4/6/0/0|10.0.40.4/6/0/0/1
10.0.40.1/4/1/0|10.0.40.1/4/1/0/2
149.0.3.222/5/0/2|149.0.3.222/5/0/2/6005
10.144.0.137/1/1/3|10.144.0.137/1/1/3/708
72.44.12.29/0/0/1|72.44.12.29/0/0/1/1
12.82.0.62/1/3/4|12.82.0.62/1/3/4/179
12.80.72.34/1/0/8|12.80.72.34/1/0/8/2
8.8.0.240/3/0/0|8.8.0.240/3/0/0/5
10.0.36.72/2/3/3|10.0.36.72/2/3/3/2
143.0.68.227/7/0/1|143.0.68.227/7/0/1/46
148.0.131.203/0/0/0|148.0.131.203/0/0/0/3
10.0.40.1/0/3/1|10.0.40.1/0/3/1/0
148.0.131.204/5/0/0|148.0.131.204/5/0/0/6128
12.123.68.1/2/3/0|12.123.68.1/2/3/0/4
149.0.24.16/0/0/9|149.0.24.16/0/0/9/1
149.0.3.157/1/0/3|149.0.3.157/1/0/3/12
12.123.80.189/0/0/1|12.123.80.189/0/0/1/4
10.0.40.42/1/0/8|10.0.40.42/1/0/8/0
143.0.68.71/1/0/3|143.0.68.71/1/0/3/12
149.9.0.22/1/0/0|149.9.0.22/1/0/0/6
143.0.68.35/1/1/9|143.0.68.35/1/1/9/40
12.80.72.109/2/3/0|12.80.72.109/2/3/0/3
149.9.0.14/3/0/1|149.9.0.14/3/0/1/12
12.123.80.156/4/0/7|12.123.80.156/4/0/7/22
12.123.68.1/2/3/0|12.123.68.1/2/3/0/44
10.0.40.4/9/2/3|10.0.40.4/9/2/3/1
150.0.0.168/5/1/6|150.0.0.168/5/1/6/6037
12.122.72.113/1/1/9|12.122.72.113/1/1/9/1
143.0.68.248/0/1/2|143.0.68.248/0/1/2/257
12.80.72.65/0/0/1|12.80.72.65/0/0/1/4
143.0.68.200/4/0/5|143.0.68.200/4/0/5/6000
149.0.3.250/5/0/4|149.0.3.250/5/0/4/19
12.123.68.1/2/3/0|12.123.68.1/2/3/0/38
149.0.3.138/0/1/0|149.0.3.138/0/1/0/36
149.4.64.12/0/0/5|149.4.64.12/0/0/5/1
149.4.64.5/1/2/1|149.4.64.5/1/2/1/1
143.0.68.170/2/0/4|143.0.68.170/2/0/4/6001
10.0.36.72/0/0/3|10.0.36.72/0/0/3/1
10.0.36.78/0/0/0|10.0.36.78/0/0/0/3
10.0.38.121/2/0/2|10.0.38.121/2/0/2/21
143.0.68.123/5/1/0|143.0.68.123/5/1/0/4
10.0.36.75/8/2/2|10.0.36.75/8/2/2/11
10.144.0.149/1/1/7|10.144.0.149/1/1/7/4
10.144.0.136/0/0/0|10.144.0.136/0/0/0/111
150.0.0.232/0/0/1|150.0.0.232/0/0/1/6019
12.82.0.63/3/0/6|12.82.0.63/3/0/6/11
143.0.68.225/3/0/0|143.0.68.225/3/0/0/4
143.0.68.224/0/0/0|143.0.68.224/0/0/0/3
10.0.36.75/11/1/1|10.0.36.75/11/1/1/1
10.0.36.75/11/1/4|10.0.36.75/11/1/4/1
12.80.0.207/2/0/5|12.80.0.207/2/0/5/146
10.0.36.75/4/2/5|10.0.36.75/4/2/5/1
10.0.36.78/0/0/4|10.0.36.78/0/0/4/1
12.123.80.68/4/0/2|12.123.80.68/4/0/2/9
149.0.3.222/1/2/0|149.0.3.222/1/2/0/6001
149.9.0.128/1/0/2|149.9.0.128/1/0/2/0
10.0.36.21/5/3/1|10.0.36.21/5/3/1/2
143.0.68.22/0/0/0|143.0.68.22/0/0/0/4
143.0.68.244/1/0/0|143.0.68.244/1/0/0/6022
149.0.3.196/0/0/9|149.0.3.196/0/0/9/6013
148.0.131.182/4/1/6|148.0.131.182/4/1/6/6030
10.144.0.137/1/3/2|10.144.0.137/1/3/2/6002
10.0.36.77/11/1/0|10.0.36.77/11/1/0/7
149.4.64.5/1/3/8|149.4.64.5/1/3/8/2
143.0.68.247/4/2/4|143.0.68.247/4/2/4/78
12.123.80.77/1/0/6|12.123.80.77/1/0/6/1
143.0.68.169/1/0/0|143.0.68.169/1/0/0/4
10.0.36.74/10/2/1|10.0.36.74/10/2/1/4
10.0.40.35/8/0/0|10.0.40.35/8/0/0/2
149.4.64.12/3/0/0|149.4.64.12/3/0/0/6
10.0.40.7/2/0/0|10.0.40.7/2/0/0/3
12.123.80.65/0/0/3|12.123.80.65/0/0/3/15
143.0.68.230/9/2/0|143.0.68.230/9/2/0/35
12.82.0.53/3/0/0|12.82.0.53/3/0/0/79
149.4.64.2/0/2/3|149.4.64.2/0/2/3/2
143.0.24.102/0/0/5|143.0.24.102/0/0/5/11
10.144.0.155/1/2/6|10.144.0.155/1/2/6/6003
143.0.68.35/1/1/1|143.0.68.35/1/1/1/32
143.0.68.254/0/0/3|143.0.68.254/0/0/3/6
10.0.40.6/4/1/0|10.0.40.6/4/1/0/1
78.23.44.28/1/0/3|78.23.44.28/1/0/3/5
143.0.68.227/7/0/0|143.0.68.227/7/0/0/19
10.0.34.15/1/0/1|10.0.34.15/1/0/1/1
12.82.0.62/2/1/1|12.82.0.62/2/1/1/1
150.0.0.39/2/0/2|150.0.0.39/2/0/2/11
143.0.68.118/0/0/0|143.0.68.118/0/0/0/4
10.0.40.4/0/0/2|10.0.40.4/0/0/2/2
10.0.38.50/0/0/3|10.0.38.50/0/0/3/12
